Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C104",0805,2,22uF,
"C102, C103",0805,2,10uF,
"C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C121, C122, C123, C124, C125, C129",0603,20,0.1uF,
"C119, C120",0603,2,4.7uF,
"C126, C131",0603,2,1uF,
"C127, C128",0603,2,20pF,
C130,0603,1,22nF,
"D101, D102",0603,2,LED,
D103,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,
J101,USB_B_Lumberg_2411_02_Horizontal,1,USB_B,
J103,IDC-Header_2x10_P2.54mm_Horizontal,1,IDC,
L101,L_Sunlord_SWPA4020S,1,4.7uH,
Q101,SOT-23,1,AO3400A,
"R101, R102",0603,2,3.3K,
"R103, R104, R105, R106, R107",0603,5,10K,
U101,SOT-23-6,1,USBLC6-2SC6,
U102,QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm,1,HPM5301IEG1,
U103,SOT-23-5,1,RT9193,
"U104, U105, U106",QSOP-16_3.9x4.9mm_P0.635mm,3,ISO7741,
U107,SOT-23-5,1,74AHC1G126,
Y101,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,
